,y,SRCH_EFRT,PRDV_CNT,CAT_CNT,EVNT_CNT,SAL_PRD,day_off,SEX_CD,AVG_SAL_AMT,AGE_30,AGE_50,AGE_60,AGE_1020
88078,0,9,2,1,9,6300,0,1,41617.5,0,0,0,0
88079,1,107,27,2,107,945700,0,1,41617.5,0,0,0,0
88080,0,7,0,-1,7,0,0,1,41617.5,0,0,0,0
88081,1,24,8,1,24,73200,0,1,18150.0,0,0,0,1
88082,1,5,2,0,5,0,1,1,18150.0,0,0,0,1
88083,0,5,2,1,5,24000,1,1,18150.0,0,0,0,1
88084,0,7,3,1,7,24000,1,1,18150.0,0,0,0,1
88085,0,21,5,1,21,155520,1,1,14440.0,1,0,0,0
88086,0,12,3,0,12,29200,0,1,1000.0,0,0,0,0
88087,0,30,12,0,30,194200,1,0,14925.31929347826,0,0,0,0
88088,0,6,2,1,6,41040,1,1,24508.333333333336,0,0,0,0
88089,0,16,5,1,16,107460,1,1,20000.0,0,0,0,0
88090,1,6,1,0,6,17500,0,1,6650.0,1,0,0,0
88091,0,39,7,1,39,0,0,1,6650.0,1,0,0,0
88092,1,5,2,1,5,40000,0,1,6650.0,1,0,0,0
88093,0,5,2,0,5,0,1,1,6650.0,1,0,0,0
88094,0,13,2,0,13,48000,0,1,21366.666666666668,1,0,0,0
88095,0,36,10,3,36,69900,0,1,9360.0,1,0,0,0
88096,1,43,12,1,43,110300,0,1,8250.0,1,0,0,0
88097,1,7,3,0,7,0,1,1,8250.0,1,0,0,0
88098,1,32,8,1,32,20000,1,1,8250.0,1,0,0,0
88099,1,17,7,0,17,0,0,1,8250.0,1,0,0,0
88100,1,86,19,1,86,406000,1,1,8250.0,1,0,0,0
88101,0,11,2,0,11,0,0,1,8250.0,1,0,0,0
88102,0,9,2,0,9,0,1,1,8250.0,1,0,0,0
88103,0,6,1,0,6,0,0,1,8250.0,1,0,0,0
88104,1,4,1,0,4,24000,0,1,18096.69934640523,1,0,0,0
88105,0,11,3,0,11,72000,0,1,18096.69934640523,1,0,0,0
88106,1,7,1,0,7,0,0,1,12678.170836928388,1,0,0,0
88107,0,10,0,-1,10,0,1,1,12678.170836928388,1,0,0,0
88108,1,98,24,4,98,371350,1,1,12678.170836928388,1,0,0,0
88109,0,102,17,1,102,245400,0,1,12678.170836928388,1,0,0,0
88110,0,10,4,1,10,57000,0,1,40025.0,0,0,0,1
88111,0,25,8,1,25,22000,1,1,4333.333333333333,0,0,0,1
88112,0,9,3,0,9,32500,1,1,11050.0,1,0,0,0
88113,0,14,5,0,14,0,1,1,11875.458333333332,1,0,0,0
88114,0,24,4,1,24,21000,0,1,12684.0,0,0,0,0
88115,0,10,2,0,10,0,0,1,12684.0,0,0,0,0
88116,0,56,10,4,56,222500,0,1,12684.0,0,0,0,0
88117,0,13,5,0,13,0,0,1,5412.307692307692,0,1,0,0
88118,0,12,2,0,12,0,0,1,5412.307692307692,0,1,0,0
